numero,rubro,m2,estado
1,Instalaciones del Parque,14005,disponible
2,Logística y Tecnología,3819,disponible
3,Logística y Tecnología,3819,disponible
4,Logística y Tecnología,3819,disponible
5,Logística y Tecnología,3819,disponible
6,Logística y Tecnología,3819,disponible
7,Logística y Tecnología,3819,disponible
8,Logística y Tecnología,4774,disponible
9,Logística y Tecnología,4774,disponible
10,Logística y Tecnología,4774,disponible
11,Logística y Tecnología,4774,disponible
12,Logística y Tecnología,4774,disponible
13,Instalaciones del Parque,5794,disponible
14,Industrias Varias,5873,disponible
15,Industrias Varias,3890,disponible
16,Industrias Varias,3870,disponible
17,Industrias Varias,3850,disponible
18,Industrias Varias,3830,disponible
19,Industrias Varias,3810,disponible
20,Industrias Varias,3790,disponible
21,Industrias Varias,3354,disponible
22,Industrias Varias,7042,disponible
23,Industrias Varias,5318,disponible
24,Industrias Varias,5331,disponible
25,Industrias Varias,5344,disponible
26,Industrias Varias,5357,disponible
27,Industrias Alimentarias,4295,disponible
28,Industrias Alimentarias,4303,disponible
29,Industrias Alimentarias,5066,disponible
30,Industrias Alimentarias,3564,disponible
31,Industrias Alimentarias,4327,disponible
32,Industrias Alimentarias,4388,disponible
33,Industrias Alimentarias,2837,disponible
34,Industrias Alimentarias,2832,disponible
35,Industrias Alimentarias,2827,disponible
36,Industrias Alimentarias,2850,disponible
37,Instalaciones del Parque,12943,disponible
38,Instalaciones del Parque,12798,disponible
39,Industrias Metalúrgicas,2365,disponible
40,Industrias Metalúrgicas,4730,disponible
41,Industrias Metalúrgicas,4730,disponible
42,Industrias Metalúrgicas,2365,disponible
43,Industrias Metalúrgicas,2365,disponible
44,Industrias Metalúrgicas,2365,disponible
45,Industrias Metalúrgicas,2365,disponible
46,Industrias Metalúrgicas,4730,disponible
47,Industrias Metalúrgicas,4730,disponible
48,Industrias Metalúrgicas,2365,disponible
49,Industrias Metalúrgicas,2365,disponible
50,Industrias Metalúrgicas,2365,disponible
51,Industrias Agrícolas,4217,disponible
52,Industrias Agrícolas,4217,disponible
53,Industrias Agrícolas,4217,disponible
54,Industrias Agrícolas,4217,disponible
55,Industrias Agrícolas,2150,disponible
56,Industrias Agrícolas,2150,disponible
57,Industrias Agrícolas,2150,disponible
58,Industrias Agrícolas,2150,disponible
59,Industrias Agrícolas,4217,disponible
60,Industrias Agrícolas,4217,disponible
61,Industrias Agrícolas,4217,disponible
62,Industrias Agrícolas,4217,disponible
63,Industrias Agrícolas,2365,disponible
64,Industrias Agrícolas,2365,disponible
